timeframe,dead_zone,filter,commission,total_return,cagr,sharpe,max_dd,trades,final_nav,total_fees
1d,0.1,MACD+ADX,0.001,0.27755302828742634,0.09092928824568647,1.0534604560558256,-0.3669773130212183,427,25551.06056574853,2451.327118794645
4h,0.08,MACD-Only,0.001,0.28465874086342513,0.08979466116317347,0.7368138275867541,-0.3122704139912549,1509,25693.174817268504,8294.32188084227
1h,0.03,MACD+ADX,0.0001,0.2828549587107205,0.0895325277685155,0.3706161728977743,-0.36491119091405366,3126,25657.09917421441,5337.25164856963
1h,0.08,MACD+MA,0.0,0.2797814663263587,0.0891591231405846,0.40310949467843554,-0.48451528309666414,2322,25595.629326527174,4173.781415918666
4h,0.03,MACD+ADX+MA,0.0001,0.2677901339095279,0.08760445963444718,0.6626441930103322,-0.33855453293207616,850,25355.802678190557,1373.5022083042088
1d,0.08,MACD+ADX,0.001,0.26287811529545246,0.08646033730682912,1.0359886895699606,-0.3669773130212186,454,25257.56230590905,2512.364429374996
2h,0.1,MACD+ADX+MA,0.0,0.2652303133189007,0.0854460595492712,0.492372450905285,-0.40156537905554335,850,25304.606266378014,1571.4808589157515
2h,0.08,MACD+MA,0.0,0.259071642666888,0.08360170466271577,0.5605542701250981,-0.39534979884718024,1535,25181.43285333776,2612.66133133443
1d,0.03,MACD+ADX,0.001,0.24950856621976225,0.08235967052444382,1.0100883162419547,-0.36724400666216417,785,24990.171324395247,3030.2937551004984
2h,0.1,MACD+MA,0.0001,0.25472922617977667,0.08229773282212016,0.5541658925887231,-0.37983722508346285,1416,25094.584523595535,3334.6231692111182
2h,0.05,MACD+MA,0.0,0.2541966185511817,0.08213759529455644,0.5507539962364533,-0.40162263213340177,1925,25083.932371023635,2817.583665027487
1h,0.1,MACD+MA,0.0,0.2559139419186085,0.08208345116284232,0.4094711534040839,-0.48517114222518554,2137,25118.27883837217,4020.7399392824345
2h,0.05,MACD-Only,0.0001,0.2559461482360872,0.08137114953394997,0.5583313070993233,-0.43387641546692624,2710,25118.922964721743,4340.898142098303
2h,0.03,MACD-Only,0.0001,0.2541363588467467,0.08083598663212466,0.5571474453634753,-0.395107531688362,3220,25082.72717693493,4612.766136120723
2h,0.08,MACD+ADX+MA,0.0,0.24626914218392204,0.07974880990138877,0.48092785594306275,-0.40093646802520555,889,24925.382843678442,1576.1463740646757
2h,0.05,MACD+ADX+MA,0.0,0.24058231361231508,0.07802909426339633,0.4654487422836874,-0.3998032059944401,1105,24811.6462722463,1670.3837910807333
2h,0.1,MACD+ADX+MA,0.0001,0.2401228651351075,0.07788993149662304,0.47849104056679814,-0.40246405615613234,850,24802.45730270215,2038.884951063261
2h,0.03,MACD+MA,0.0,0.2385980534055263,0.07742783902618999,0.5514129303061617,-0.4047983956243567,2226,24771.961068110526,2926.659055721448
4h,0.1,MACD+ADX,0.001,0.23710168945465893,0.07705028809787606,0.7190417759079253,-0.5449618409608936,838,24742.033789093177,5412.506346132404
2h,0.1,MACD+ADX,0.0,0.23918251018017456,0.07699501340263182,0.5644905790595072,-0.5384854547811826,1256,24783.65020360349,2126.7993591901864
2h,0.08,MACD+ADX,0.0,0.23060654933473934,0.07441112844164643,0.5637968648680345,-0.5332519192185081,1358,24612.13098669479,2106.0484713265296
1h,0.05,MACD+MA,0.0,0.22844905870584853,0.07383167003546509,0.3783525239228793,-0.46445136700850287,2817,24568.981174116972,4398.217418180903
2h,0.03,MACD+ADX+MA,0.0,0.22518680847930472,0.07334752043427861,0.4607690146440918,-0.4008163474998494,1286,24503.736169586096,1732.9071521436595
1d,0.1,MACD-Only,0.0,0.2269269000895704,0.07272817151453181,1.0420144538995586,-0.3544638449003925,921,24538.538001791407,1187.922575658359
2h,0.08,MACD+ADX+MA,0.0001,0.22133420503585355,0.07217000480082314,0.4668841191818722,-0.401800621718851,889,24426.68410071707,2042.8554299969114
2h,0.08,MACD+MA,0.0001,0.21993672271051246,0.07174227812095602,0.5424230561353045,-0.4048637455827613,1535,24398.734454210247,3337.873359825734
1d,0.1,MACD+MA,0.001,0.20619123795883953,0.07109190254747322,1.1318787101356285,-0.41091645632468043,711,24123.82475917679,3974.8794506657505
1h,0.08,MACD+MA,0.0001,0.21682620966318056,0.07030327177099394,0.38261038495823846,-0.4858844774502934,2322,24336.524193263613,5288.981905218618
2h,0.05,MACD+ADX+MA,0.0001,0.2143249826774214,0.07002147391504976,0.4500485657181405,-0.40072071044609925,1105,24286.499653548428,2161.502783685545
2h,0.05,MACD+MA,0.0001,0.21222772269900192,0.06937703276216478,0.5308793668996357,-0.4109736581428649,1925,24244.55445398004,3595.4196138855314
1h,0.03,MACD+MA,0.0,0.20981198147334434,0.06816326006348117,0.3527832494231523,-0.40048616341780374,3216,24196.239629466887,4535.581866786366
