,strategy,benchmark
2024-03-01,81370.14545175164,80056.41077666773
2024-03-04,80745.03176794533,80006.48951432412
2024-03-05,82134.18865327087,79983.46327279582
2024-03-06,81755.07731460861,80117.11083937489
2024-03-07,81285.25405089713,80481.13294290115
2024-03-08,81484.25743871335,79967.27197476264
2024-03-11,81770.15642854526,79829.84933925384
2024-03-12,80473.08275226183,80365.92340849049
2024-03-13,82305.35475828324,81156.44020865923
2024-03-14,82761.53961296205,81446.88906846118
2024-03-15,82510.94167164792,81424.24605628774
2024-03-18,82510.94925936319,81655.71251033558
2024-03-19,82171.70504684316,81255.18593467606
2024-03-20,82924.1582844169,82368.14125974086
2024-03-21,82726.32145344565,82197.62355636345
2024-03-22,83270.65857065555,82831.06928055311
2024-03-25,83089.39231756904,83018.16248560036
2024-03-26,83813.93402594699,83333.32218353295
2024-03-27,85028.82413773774,83653.2964169311
2024-03-28,85028.82667626422,83543.32888224539
2024-04-01,86819.4198461047,85970.26338681873
2024-04-02,86685.05712602934,86131.26691831835
2024-04-03,87307.25957855757,86198.6715058736
2024-04-04,88814.48430832369,86147.03514705278
2024-04-05,90905.40497916339,87280.51976352041
2024-04-08,89384.69988684895,86666.77401562042
2024-04-09,88195.12495181398,86051.12435418788
2024-04-10,86947.34796606137,85082.76094019039
2024-04-11,86904.22870635336,85747.95126512361
2024-04-12,87071.31612404356,85249.76394769216
2024-04-15,86593.64705639255,84176.66843730015
2024-04-16,85231.55344720812,84275.12398905112
2024-04-17,85068.80300475315,83823.46404149187
2024-04-18,85268.42886369141,84134.26952167161
2024-04-19,84602.73638975924,82790.18730391932
2024-04-22,85631.38540539591,84142.85827387642
2024-04-23,87497.09530523681,85242.64229425276
2024-04-24,87400.54498907873,84538.61930373739
2024-04-25,87822.23538794502,85519.41414176062
2024-04-26,90879.49103903021,87616.98657316068
2024-04-29,90827.6870022061,87229.26427416457
2024-04-30,88676.69567675884,85083.94130956812
2024-05-01,90671.35388910431,87045.31680965747
2024-05-02,92513.92965879597,87508.02945579254
2024-05-03,93075.00860747776,88514.01241140235
2024-05-06,93464.3851203708,89110.47927019495
2024-05-07,92718.59814563238,88531.09937394719
2024-05-08,92595.78755863493,88306.39442122009
2024-05-09,93875.17871646812,89059.78053619534
2024-05-10,93851.85685721028,88984.7886828891
2024-05-13,93788.08612649067,89048.43667615012
2024-05-14,93149.97038848848,88714.77431067529
2024-05-15,94951.63410094171,89660.34871776513
2024-05-16,95532.19208804576,89640.08238556614
2024-05-17,95848.3442369908,89451.75463221123
2024-05-20,96283.90607924925,89564.14695744253
2024-05-21,94508.44238795688,88773.50002693842
2024-05-22,94149.16246872983,88629.41457046027
2024-05-23,93214.69603331662,88988.35865765411
2024-05-24,92524.14783275708,88527.51597111052
2024-05-27,93376.63570155534,88620.93141102162
2024-05-28,91730.16206924613,88836.18133576978
2024-05-29,92789.48939538252,89272.41887697778
2024-05-30,93406.36683004907,89405.5975986088
2024-05-31,93774.08233489573,89303.52970795934
2024-06-03,88396.18180804278,87543.1400783344
2024-06-04,91438.5115415513,91041.35033103207
2024-06-05,93377.79883662454,93273.985465335
2024-06-06,94053.12233033509,92785.43841859286
2024-06-07,90184.19785812282,91376.33576193455
2024-06-10,90279.70080333069,92683.26711231965
2024-06-11,90402.76527705854,93262.33280069608
2024-06-12,89559.673421198,93817.49304031489
2024-06-13,89477.41003471702,93995.86229652156
2024-06-14,89413.03594357533,93460.48345407417
2024-06-17,88561.03927238224,93509.90074489903
2024-06-18,90044.59135582673,94917.9113723919
2024-06-19,90450.6288155322,94944.3359366332
2024-06-20,91167.30276088332,94582.17968544915
2024-06-21,89892.38107096769,93324.066105872
2024-06-24,89536.48814753437,91687.39496539628
2024-06-25,89167.54278196374,92164.57579450672
2024-06-26,89694.985665061,92460.00690515239
2024-06-27,88735.09873470059,92617.52501488852
2024-06-28,89421.10210232474,92624.74143046162
2024-07-01,91253.91031318292,94954.24189985759
2024-07-02,89582.56950988916,93899.14412306168
2024-07-03,91631.95443973203,95029.47281333209
2024-07-04,91429.73675047184,94966.59791530998
2024-07-05,90883.97568199718,94426.26567067664
2024-07-08,91747.33842294566,95397.64249958664
2024-07-09,92956.03637514963,95823.72018295212
