Date,NAV,QQQ_BH_MXN,BONDIA,W_TQQQ
2005-03-18,204989.7354629071,201908.82248126058,217626.83289945323,0.4766833683034992
2005-03-21,204993.99623605053,203709.34036096354,217683.22588432758,0.0
2005-03-22,201080.52075443562,201069.25351499862,217739.63348214602,0.4903916651274625
2005-03-23,201083.32203764666,202331.55499401642,217796.05569669517,0.0
2005-03-24,201135.4281524445,202452.09223321345,217852.4925317626,0.0
2005-03-28,201187.54776934275,203434.9885908751,217908.94399113694,0.0
2005-03-29,201239.68089184014,201123.99474451054,217965.41007860765,0.0
2005-03-30,201291.8275234363,204135.39224445142,218021.89079796532,0.0
2005-03-31,199403.61420490098,202204.42721302612,218078.38615300148,0.49538692526636274
2005-04-01,196345.2565184259,200060.0152999884,218134.89614750855,0.4873940605863223
2005-04-04,196348.28611666945,202056.8375441846,218191.42078528015,0.0
2005-04-05,196399.16525588935,203371.7346602168,218247.9600701106,0.0
2005-04-06,195679.1280243741,202676.22628458933,218304.51400579544,0.49828103799557677
2005-04-07,195681.08216716265,204479.00102977923,218361.08259613108,0.0
2005-04-08,192816.66631047806,201928.96326992856,218417.66584491494,0.49269440339836285
2005-04-11,191281.97647516505,200450.81589245913,218474.26375594537,0.4884916877281851
2005-04-12,191284.82296908676,201040.3996942631,218530.87633302182,0.0
2005-04-13,186519.77859449742,197732.18955171682,218587.50357994463,0.48734995007513576
2005-04-14,186522.66069981162,195930.53644091016,218644.14550051515,0.0
2005-04-15,186570.99375435011,190717.81152750843,218700.8020985357,0.0
2005-04-18,186619.33933328727,191271.86707599502,218757.47337780966,0.0
2005-04-19,186667.69743986847,191890.89881414108,218814.15934214133,0.0
2005-04-20,186716.06807734,190059.79521784277,218870.85999533592,0.0
2005-04-21,186764.45124894893,194551.84159740843,218927.5753411998,0.0
2005-04-22,186812.8469579432,191926.466522909,218984.30538354022,0.0
2005-04-25,186861.25520757158,193652.89084971033,219041.05012616538,0.0
2005-04-26,186909.67600108372,192367.509221538,219097.80957288455,0.0
2005-04-27,186958.10934173004,193076.66564918534,219154.58372750806,0.0
2005-04-28,187006.55523276186,191771.0964980461,219211.37259384693,0.0
2005-04-29,187055.0136774313,190389.05996287608,219268.17617571354,0.0
2005-05-02,187103.48467899137,191725.29997472663,219324.99447692098,0.0
2005-05-03,187151.9682406959,192253.15873620362,219381.82750128346,0.0
2005-05-04,187200.46436579953,193993.42150655107,219438.6752526161,0.0
2005-05-05,187248.97305755783,193544.9811417335,219495.53773473518,0.0
2005-05-06,187297.49431922712,194166.23558909327,219552.4149514577,0.0
2005-05-09,187346.0281540646,195711.3029708841,219609.30690660185,0.0
2005-05-10,187394.57456532834,195566.06824271852,219666.2136039868,0.0
2005-05-11,187443.1335562772,195864.50136356088,219723.1350474326,0.0
2005-05-12,187491.70513017094,195461.82713957975,219780.07124076036,0.0
2005-05-13,187540.28929027016,197650.9170941776,219837.0221877922,0.0
2005-05-16,187588.88603983624,198724.97281860022,219893.9878923512,0.0
2005-05-17,187637.49538213148,199787.16503284738,219950.9683582614,0.0
2005-05-18,190363.26037917717,200997.96438479336,220007.9635893479,0.45450304446442474
2005-05-19,192917.10676927993,203583.33282722544,220064.9735894367,0.46158487893348893
2005-05-20,193940.1090945545,204313.46025090895,220121.99836235493,0.4642861485999229
2005-05-23,195411.19883607508,205606.80380387994,220179.03791193056,0.4681813234630003
