,strategy,benchmark
2024-02-05,76355.62902893346,79152.08374908038
2024-02-06,76775.52310577648,79731.96130286253
2024-02-07,77190.97673952092,80029.75564927205
2024-02-08,75839.5381022641,79053.3835071054
2024-02-09,75228.34686733925,79018.31361635301
2024-02-12,75177.86813399123,79051.99630363405
2024-02-13,74424.5818705009,78133.86739175355
2024-02-14,74636.21381482163,78577.96942133064
2024-02-15,74675.94813491579,78341.29579714309
2024-02-16,74710.46086581123,78081.77984535882
2024-02-19,74703.7972905467,78239.41519986925
2024-02-20,74569.95766956222,77625.97910459431
2024-02-21,74073.27028495498,77322.91306026802
2024-02-22,74128.25202639775,78929.23258053578
2024-02-23,73369.37233421797,78953.96402509701
2024-02-26,72872.480707414,78311.23951188716
2024-02-27,72294.7245842667,78008.53539570628
2024-02-28,70423.82073811308,77048.73916934218
2024-02-29,70816.69660204317,77618.77454802145
2024-03-01,73178.64975685212,80056.4155302121
2024-03-04,73007.04815947195,80006.49305461203
2024-03-05,72839.57154842949,79983.46322385073
2024-03-06,72689.79980354689,80117.11216677402
2024-03-07,72752.49391891508,80481.13660126962
2024-03-08,72471.07295567208,79967.27317119403
2024-03-11,72926.26660187297,79829.85091376679
2024-03-12,72384.06881311447,80365.9237025388
2024-03-13,73883.50623816837,81156.44326762328
2024-03-14,74971.98154334338,81446.89028655866
2024-03-15,76119.5676266469,81424.24876846481
2024-03-18,76119.65582482984,81655.71329502923
2024-03-19,74496.66468041859,81255.187837341
2024-03-20,75323.00200187738,82368.1424754614
2024-03-21,75486.96732496032,82197.62642523173
2024-03-22,76557.788234509,82831.06736839142
2024-03-25,76581.23374200024,83018.16187831493
2024-03-26,77428.23618894424,83333.32151591899
2024-03-27,77703.70797854754,83653.29744964543
2024-03-28,77703.73748590446,83543.32810503026
2024-04-01,80373.04369910559,85970.26576055371
2024-04-02,80416.76568487745,86131.2669169267
2024-04-03,80999.58062404789,86198.67254677878
2024-04-04,80720.99291115823,86147.0381461154
2024-04-05,80788.54759397864,87280.52197771471
2024-04-08,80724.32369936656,86666.77680566734
2024-04-09,80627.56870217378,86051.12413456054
2024-04-10,79265.62109212046,85082.76287907343
2024-04-11,79667.061359329,85747.95196032165
2024-04-12,79072.90186152137,85249.76502350577
2024-04-15,78530.23187070302,84176.66885132583
2024-04-16,78756.01449751772,84275.12543782698
2024-04-17,77701.33807401234,83823.46513389239
2024-04-18,78792.4087082903,84134.27174976461
2024-04-19,78034.20771215986,82790.18859967879
2024-04-22,79174.10423018425,84142.86071661311
2024-04-23,79710.46148881421,85242.64332752235
2024-04-24,79548.76525295182,84538.62074417001
2024-04-25,79340.47754538982,85519.41722629765
2024-04-26,80679.21425854984,87616.98735125524
2024-04-29,80002.42537743885,87229.26441029842
2024-04-30,78617.1437133095,85083.94151392371
2024-05-01,80611.83147667284,87045.31764455134
2024-05-02,80720.00566417283,87508.03260385909
2024-05-03,81310.19125083285,88514.01530730525
